raw_name,standard_name,verification_status,source_url,notes,count
华为海斯,华为,中,https://www.huawei.com/cn/corporate-information,包含华为/HUAWEI关键词,1
天华新能源有限公司,天华新能源有限公司,中,,按原表企业名保留，未命中已知别名库,1
四川某国企,四川某国企,中,,按原表企业名保留，未命中已知别名库,1
凯瑞化工,凯瑞化工,中,,按原表企业名保留，未命中已知别名库,1
荣耀,荣耀,待核实,,企业名过短或匿名化，需人工复核,2
中石油,中石油,中,,按原表企业名保留，未命中已知别名库,2
上海大途科技,上海大途科技,中,,按原表企业名保留，未命中已知别名库,1
北京国能日新科技,北京国能日新科技,中,,按原表企业名保留，未命中已知别名库,1
深圳号语言科技,深圳号语言科技,中,,按原表企业名保留，未命中已知别名库,1
中国建筑第八工程局有限公司,中国建筑第八工程局有限公司,中,,按原表企业名保留，未命中已知别名库,2
中建三局北京分公司,中建三局北京分公司,中,,按原表企业名保留，未命中已知别名库,1
JANG,JANG,待核实,,纯英文或缩写企业名，需人工复核,1
工科就业飞机哥,工科就业飞机哥,中,,按原表企业名保留，未命中已知别名库,1
牧原食品股份,牧原食品股份,中,,按原表企业名保留，未命中已知别名库,2
国家电网,国家电网,中,https://www.sgcc.com.cn/,常用名称,3
中国电气装备集团,中国电气装备集团,中,,按原表企业名保留，未命中已知别名库,1
中国工商银行,中国工商银行,中,,按原表企业名保留，未命中已知别名库,2
中国邮政储蓄银行,中国邮政储蓄银行,中,,按原表企业名保留，未命中已知别名库,1
深信服,深信服,中,,按原表企业名保留，未命中已知别名库,1
某世界五百强电汽外企,某世界五百强电汽外企,中,,按原表企业名保留，未命中已知别名库,1
长安汽车,长安汽车,中,,按原表企业名保留，未命中已知别名库,1
苏宁易购,苏宁易购,中,,按原表企业名保留，未命中已知别名库,1
